attack_detected,attacker_pct,b3_available,comm_range_m,context,decision,density,family,frequency_hz,m_A,m_notA,m_theta,msg_index,n_contract_violations,scenario_id,seed,sem_m_notA,semantic_confidence,total_ms,trust_score,truth_attacker,vehicle_count
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,2,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,19.30969500062929,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,3,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,27.19958099987707,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,4,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,21.315347999916412,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,5,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,20.573769999828073,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,6,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,21.733573999881628,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,7,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,33.498294000310125,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,8,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,23.194138000690145,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,9,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,20.483955000599963,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,10,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,28.96811900063767,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,11,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,26.439696999659645,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,12,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,24.39507999952184,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,13,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,33.465681999587105,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,14,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,27.913026000533137,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,15,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,38.76755300007062,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,16,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,22.044401999664842,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,17,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,30.177958000422223,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,18,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,25.2228749995993,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,19,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,34.20380299940007,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,20,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,26.18991700001061,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,21,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,30.311707001601462,0.8772999999999999,False,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,22,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,25.227882999388385,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,23,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,22.791201001382433,0.8772999999999999,False,500
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,0,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,31.127949001529487,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.146,0.146,0.708,1,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,25.8985960008431,0.9184599999999999,True,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,2,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,27.57209499941382,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,3,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,22.708896000040113,0.8772999999999999,True,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,4,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,24.76312299950223,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,5,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,23.646462001124746,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,6,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,20.009025000035763,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,7,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,25.01763299915183,0.8772999999999999,True,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,8,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,29.774704000374186,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,9,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,21.309970999936922,0.8772999999999999,True,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,10,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,20.801462000235915,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,11,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,19.142267001370783,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,12,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,23.763676999806194,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,13,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,18.669236000278033,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,14,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,18.66109000002325,0.8772999999999999,True,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,15,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,20.240170999386464,0.8772999999999999,True,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,16,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,20.10885900017456,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,17,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,20.66583100167918,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,18,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,20.892787999400753,0.8772999999999999,False,1000
False,0.2,True,300,urban,CAUTION,dense,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,19,0,s101_fabrication_1000v_20pct_dense_urban_1753,1854,0.0,0.9,19.35463600057119,0.8772999999999999,False,1000
